BOROUGH,NEIGHBORHOOD,ZIP CODE,YEAR BUILT,SALE PRICE,SALE DATE
MANHATTAN,CHINATOWN,10013,1920,1190000,2019-07-11
MANHATTAN,CHINATOWN,10013,1920,1340000,2019-12-04
MANHATTAN,CHINATOWN,10013,1920,2287500,2019-12-09
MANHATTAN,CHINATOWN,10013,1920,2070000,2019-05-29
MANHATTAN,CHINATOWN,10013,1920,2900000,2019-06-17
MANHATTAN,CHINATOWN,10013,1990,600000,2019-08-01
MANHATTAN,CHINATOWN,10013,1990,350000,2019-05-30
MANHATTAN,CHINATOWN,10013,1990,250000,2019-05-31
MANHATTAN,CHINATOWN,10013,1990,533333,2019-07-02
MANHATTAN,CHINATOWN,10013,2007,988000,2019-03-27
MANHATTAN,CHINATOWN,10013,2007,875000,2019-06-17
MANHATTAN,CHINATOWN,10013,2007,999000,2019-09-09
MANHATTAN,CHINATOWN,10013,2007,1120000,2019-08-21
MANHATTAN,CHINATOWN,10013,2007,1590000,2019-06-21
MANHATTAN,CHINATOWN,10013,2007,1562500,2019-07-15
MANHATTAN,CHINATOWN,10013,2003,1387500,2019-11-12
MANHATTAN,CHINATOWN,10013,2003,1248000,2019-02-28
MANHATTAN,CHINATOWN,10013,1900,2750000,2019-08-15
MANHATTAN,CHINATOWN,10013,1900,2350000,2019-12-02
MANHATTAN,CHINATOWN,10013,1915,4800000,2019-06-27
MANHATTAN,CHINATOWN,10013,1920,2275000,2019-04-29
MANHATTAN,CHINATOWN,10002,2012,661863,2019-03-19
MANHATTAN,CHINATOWN,10002,2012,809509,2019-05-22
MANHATTAN,CHINATOWN,10002,2007,680000,2019-05-07
MANHATTAN,CHINATOWN,10013,1915,4300000,2019-12-30
MANHATTAN,CHINATOWN,10013,1915,5224735,2019-03-15
MANHATTAN,CHINATOWN,10013,1915,4800000,2019-04-17
MANHATTAN,CHINATOWN,10013,2014,1850000,2019-06-13
MANHATTAN,CHINATOWN,10013,2014,2140000,2019-02-05
MANHATTAN,CHINATOWN,10013,2014,2200000,2019-04-15
MANHATTAN,CIVIC CENTER,10007,1910,3200000,2019-05-02
MANHATTAN,CIVIC CENTER,10007,1910,3340000,2019-04-16
MANHATTAN,CIVIC CENTER,10007,1910,2050000,2019-04-30
MANHATTAN,CIVIC CENTER,10007,1910,2210000,2019-04-25
MANHATTAN,CIVIC CENTER,10007,1910,2325000,2019-04-16
MANHATTAN,CIVIC CENTER,10007,1910,3650000,2019-04-08
MANHATTAN,CIVIC CENTER,10007,1910,3900000,2019-05-13
MANHATTAN,CIVIC CENTER,10007,1910,3925000,2019-04-30
MANHATTAN,CIVIC CENTER,10007,1910,4150000,2019-04-22
MANHATTAN,CIVIC CENTER,10007,1910,7300000,2019-06-20
MANHATTAN,CIVIC CENTER,10007,1910,7100000,2019-10-07
MANHATTAN,CIVIC CENTER,10007,1910,1650000,2019-05-08
MANHATTAN,CIVIC CENTER,10007,1910,1750000,2019-04-30
MANHATTAN,CIVIC CENTER,10013,2018,2457000,2019-08-09
MANHATTAN,CIVIC CENTER,10007,1913,8000000,2019-02-21
MANHATTAN,CIVIC CENTER,10007,1913,6750000,2019-12-30
MANHATTAN,CIVIC CENTER,10007,1913,16200000,2019-06-27
MANHATTAN,CIVIC CENTER,10007,1913,18000000,2019-06-18
MANHATTAN,CIVIC CENTER,10007,1913,9300000,2019-05-31
MANHATTAN,CIVIC CENTER,10007,1913,2500000,2019-06-28
MANHATTAN,CIVIC CENTER,10007,2008,2100000,2019-11-21
MANHATTAN,CIVIC CENTER,10007,2008,5945000,2019-05-30
MANHATTAN,CIVIC CENTER,10007,2008,2600000,2019-06-06
MANHATTAN,CIVIC CENTER,10007,2008,6150000,2019-06-26
MANHATTAN,CIVIC CENTER,10007,2008,4750000,2019-03-22
MANHATTAN,CIVIC CENTER,10007,2008,5050000,2019-10-08
MANHATTAN,CIVIC CENTER,10007,2008,11100000,2019-02-05
MANHATTAN,CIVIC CENTER,10007,2008,11345000,2019-06-27
MANHATTAN,CIVIC CENTER,10007,2008,7450000,2019-05-10
MANHATTAN,CIVIC CENTER,10007,2008,13750000,2019-05-15
MANHATTAN,CIVIC CENTER,10007,1931,4050000,2019-11-01
MANHATTAN,CIVIC CENTER,10007,1931,3475000,2019-06-28
MANHATTAN,CIVIC CENTER,10007,1930,2950000,2019-02-01
MANHATTAN,CIVIC CENTER,10007,1910,2075000,2019-11-07
MANHATTAN,CIVIC CENTER,10007,1900,3900000,2019-04-23
MANHATTAN,CIVIC CENTER,10007,1900,5300000,2019-03-14
MANHATTAN,CIVIC CENTER,10007,1900,4850000,2019-09-24
MANHATTAN,CIVIC CENTER,10013,1915,2995000,2019-10-23
MANHATTAN,CIVIC CENTER,10007,2009,1100000,2019-04-11
MANHATTAN,CIVIC CENTER,10007,2009,1156500,2019-04-12
MANHATTAN,CIVIC CENTER,10007,2009,2525000,2019-05-16
MANHATTAN,CIVIC CENTER,10007,2010,1490000,2019-05-07
MANHATTAN,CIVIC CENTER,10007,2010,2400000,2019-11-20
MANHATTAN,CIVIC CENTER,10007,2013,1525000,2019-09-09
MANHATTAN,CIVIC CENTER,10007,2013,849089,2019-06-28
MANHATTAN,CIVIC CENTER,10007,1910,3400000,2019-03-01
MANHATTAN,CIVIC CENTER,10007,1910,3487506,2019-03-22
MANHATTAN,CIVIC CENTER,10007,1910,2775094,2019-05-29
MANHATTAN,CIVIC CENTER,10007,1910,2900000,2019-11-12
MANHATTAN,CIVIC CENTER,10007,1910,2926463,2019-07-31
MANHATTAN,CIVIC CENTER,10007,1910,3052603,2019-03-06
MANHATTAN,CIVIC CENTER,10007,1910,2000000,2019-08-28
MANHATTAN,CIVIC CENTER,10007,1910,2205000,2019-03-25
MANHATTAN,CIVIC CENTER,10007,1910,2000000,2019-12-16
MANHATTAN,CIVIC CENTER,10007,1910,3800000,2019-02-26
MANHATTAN,CIVIC CENTER,10007,1910,3800000,2019-03-22
MANHATTAN,CIVIC CENTER,10007,1910,4030000,2019-05-30
MANHATTAN,CIVIC CENTER,10007,1910,1580000,2019-08-05
MANHATTAN,CIVIC CENTER,10007,1910,1650000,2019-07-16
MANHATTAN,CIVIC CENTER,10007,1910,1731025,2019-02-26
MANHATTAN,CIVIC CENTER,10007,1910,1900000,2019-08-30
MANHATTAN,CIVIC CENTER,10007,1910,2341975,2019-09-23
MANHATTAN,CIVIC CENTER,10007,1910,8750000,2019-10-28
MANHATTAN,CIVIC CENTER,10013,1900,2550000,2019-12-17
MANHATTAN,CIVIC CENTER,10013,1900,1213529,2019-12-02
MANHATTAN,CIVIC CENTER,10013,1900,2851459,2019-10-29
MANHATTAN,CIVIC CENTER,10013,1900,1603741,2019-08-28
MANHATTAN,CIVIC CENTER,10013,1900,1435932,2019-12-17
MANHATTAN,CIVIC CENTER,10013,1900,2660850,2019-10-29
MANHATTAN,CIVIC CENTER,10013,1900,3688436,2019-08-27
MANHATTAN,CIVIC CENTER,10013,1900,1568584,2019-12-12
MANHATTAN,CIVIC CENTER,10013,1900,2371264,2019-09-19
MANHATTAN,CIVIC CENTER,10013,1900,3066716,2019-11-25
MANHATTAN,CIVIC CENTER,10013,1900,2037302,2019-10-30
MANHATTAN,CIVIC CENTER,10013,1900,2760895,2019-10-30
MANHATTAN,CIVIC CENTER,10013,1900,3744526,2019-08-28
MANHATTAN,CIVIC CENTER,10013,1900,1646870,2019-09-20
